     ---------------------------------------------------------------------------------------------------------
     |  * |  + |  - |  / |  < |  = |  > |  a |  d |  e |  f |  g |  h |  i |  l |  n |  o |  r |  s |  t |  w |
     ---------------------------------------------------------------------------------------------------------
   0:| 82 | 12 | 13 | 15 | 81 | 79 | 80 | -  | -  | 88 | 34 | -  | -  | 83 | -  | 18 | -  | 84 | 87 | 58 | 43 |
#  5:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
#  7:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
#  9:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 11:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 12:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 13:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 15:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 17:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  18:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 19 | -  | -  | -  | -  |
  19:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 20 | -  |
# 20:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  22:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 23 | -  |
# 23:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 27:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  29:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 30 | -  | -  | -  |
  30:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 31 | -  | -  | -  | -  | -  | -  | -  |
  31:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 32 | -  | -  | -  | -  | -  |
  32:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 33 | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 33:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  34:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 35 | -  | -  | -  | -  |
  35:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 36 | -  | -  | -  |
# 36:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  40:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 41 | -  | -  | -  | -  |
  41:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 42 | -  | -  | -  |
# 42:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  43:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 44 | -  | -  | -  | -  | -  | -  | -  | -  |
  44:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 45 | -  | -  | -  | -  | -  | -  | -  |
  45:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 46 | -  | -  | -  | -  | -  | -  |
  46:| -  | -  | -  | -  | -  | -  | -  | -  | -  | 47 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 47:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  51:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 52 | -  | -  | -  | -  | -  | -  | -  | -  |
  52:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 53 | -  | -  | -  | -  | -  | -  | -  |
  53:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 54 | -  | -  | -  | -  | -  | -  |
  54:| -  | -  | -  | -  | -  | -  | -  | -  | -  | 55 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 55:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 57:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  58:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 59 | -  | -  | -  | -  | -  | -  | -  | -  |
  59:| -  | -  | -  | -  | -  | -  | -  | -  | -  | 60 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  60:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 61 | -  | -  | -  | -  | -  |
# 61:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  63:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 64 | -  | -  |
  64:| -  | -  | -  | -  | -  | -  | -  | -  | -  | 65 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 65:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  69:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 70 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 70:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  72:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 73 | -  | -  | -  | -  |
  73:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 74 |
# 74:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 78:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 79:| -  | -  | -  | -  | -  |  5 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 80:| -  | -  | -  | -  | -  |  9 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 81:| -  | -  | -  | -  | -  | 11 |  7 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
# 82:| 17 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  83:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 57 | -  | -  | -  | -  | 22 | -  | -  | -  | -  | -  |
  84:| -  | -  | -  | -  | -  | -  | -  | -  | -  | 85 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  85:| -  | -  | -  | -  | -  | -  | -  | 86 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  86:| -  | -  | -  | -  | -  | -  | -  | -  | 78 | -  | -  | -  | -  | -  | 27 | -  | -  | -  | -  | -  | -  |
  87:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 72 | -  | -  | -  | -  | -  | -  | 29 | -  |
  88:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 63 | 89 | -  | -  | -  | -  | -  |
  89:| -  | -  | -  | -  | -  | -  | -  | -  | 90 | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | -  |
  90:| -  | -  | -  | -  | -  | -  | -  | -  | -  | -  | 40 | -  | -  | 69 | -  | -  | -  | -  | -  | -  | 51 |
     ---------------------------------------------------------------------------------------------------------
